location,iso_code,date,total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,new_cases_per_million,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,total_deaths_per_million,new_deaths_smoothed_per_million
New Caledonia,NCL,2022-07-12,1.0,0.0,1.0,0.0,0.14,0.0,3.475,3.475,0.486,0.0,0.0,0.0
Barbados,BRB,2022-07-19,1.0,0.0,1.0,0.0,0.14,0.0,3.556,3.556,0.498,0.0,0.0,0.0
Martinique,MTQ,2022-07-20,1.0,0.0,1.0,0.0,0.14,0.0,2.712,2.712,0.38,0.0,0.0,0.0
Bermuda,BMU,2022-07-23,1.0,0.0,1.0,0.0,0.14,0.0,15.58,15.58,2.181,0.0,0.0,0.0
United Arab Emirates,ARE,2022-07-24,16.0,0.0,3.0,0.0,0.43,0.0,0.32,1.708,0.046,0.0,0.0,0.0
Saint Martin (French part),MAF,2022-08-04,1.0,0.0,1.0,0.0,0.14,0.0,31.285,31.285,4.38,0.0,0.0,0.0
Guadeloupe,GLP,2022-08-05,1.0,0.0,1.0,0.0,0.14,0.0,2.525,2.525,0.353,0.0,0.0,0.0
Iran,IRN,2022-08-18,1.0,0.0,1.0,0.0,0.14,0.0,0.011,0.011,0.002,0.0,0.0,0.0
Bahamas,BHS,2022-08-20,2.0,0.0,1.0,0.0,0.14,0.0,2.452,4.903,0.343,0.0,0.0,0.0
Philippines,PHL,2022-08-22,4.0,0.0,1.0,0.0,0.43,0.0,0.009,0.035,0.004,0.0,0.0,0.0
Morocco,MAR,2022-08-29,3.0,0.0,2.0,0.0,0.29,0.0,0.054,0.081,0.008,0.0,0.0,0.0
Guyana,GUY,2022-08-30,2.0,0.0,1.0,0.0,0.29,0.0,1.243,2.486,0.36,0.0,0.0,0.0
Saudi Arabia,SAU,2022-08-30,8.0,0.0,1.0,0.0,0.14,0.0,0.028,0.223,0.004,0.0,0.0,0.0
South Korea,KOR,2022-09-03,2.0,0.0,1.0,0.0,0.14,0.0,0.019,0.039,0.003,0.0,0.0,0.0
Jordan,JOR,2022-09-08,1.0,0.0,1.0,0.0,0.14,0.0,0.09,0.09,0.013,0.0,0.0,0.0
Guam,GUM,2022-09-12,1.0,0.0,1.0,0.0,0.14,0.0,5.864,5.864,0.821,0.0,0.0,0.0
Aruba,ABW,2022-09-13,3.0,0.0,1.0,0.0,0.14,0.0,9.386,28.159,1.314,0.0,0.0,0.0
Singapore,SGP,2022-09-15,19.0,0.0,3.0,0.0,0.43,0.0,0.55,3.484,0.079,0.0,0.0,0.0
China,CHN,2022-09-16,5.0,0.0,1.0,0.0,0.14,0.0,0.001,0.004,0.0,0.0,0.0,0.0
Bahrain,BHR,2022-09-16,1.0,0.0,1.0,0.0,0.14,0.0,0.683,0.683,0.096,0.0,0.0,0.0
Qatar,QAT,2022-09-20,5.0,0.0,1.0,0.0,0.29,0.0,0.372,1.86,0.108,0.0,0.0,0.0
Honduras,HND,2022-09-22,6.0,0.0,2.0,0.0,0.29,0.0,0.195,0.584,0.028,0.0,0.0,0.0
Curacao,CUW,2022-09-22,3.0,0.0,1.0,0.0,0.29,0.0,5.254,15.761,1.524,0.0,0.0,0.0
Jamaica,JAM,2022-09-24,14.0,0.0,1.0,0.0,0.29,0.0,0.354,4.951,0.103,0.0,0.0,0.0
Egypt,EGY,2022-09-27,1.0,0.0,1.0,0.0,0.14,0.0,0.009,0.009,0.001,0.0,0.0,0.0
Paraguay,PRY,2022-09-30,2.0,0.0,1.0,0.0,0.14,0.0,0.149,0.298,0.021,0.0,0.0,0.0
Sudan,SDN,2022-10-01,17.0,1.0,10.0,0.0,1.43,0.0,0.219,0.372,0.031,0.0,0.022,0.0
Panama,PAN,2022-10-01,16.0,0.0,2.0,0.0,0.43,0.0,0.46,3.677,0.099,0.0,0.0,0.0
India,IND,2022-10-02,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.001,0.0
Thailand,THA,2022-10-02,10.0,0.0,2.0,0.0,0.29,0.0,0.028,0.14,0.004,0.0,0.0,0.0
Indonesia,IDN,2022-10-02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0
Vietnam,VNM,2022-10-03,1.0,0.0,1.0,0.0,0.14,0.0,0.01,0.01,0.001,0.0,0.0,0.0
El Salvador,SLV,2022-10-03,9.0,0.0,2.0,0.0,0.71,0.0,0.317,1.425,0.112,0.0,0.0,0.0
Ecuador,ECU,2022-10-04,142.0,1.0,22.0,0.0,3.14,0.0,1.236,7.979,0.176,0.0,0.056,0.0
Australia,AUS,2022-10-04,138.0,0.0,2.0,0.0,0.29,0.0,0.077,5.324,0.011,0.0,0.0,0.0
Cuba,CUB,2022-10-04,4.0,1.0,1.0,0.0,0.14,0.0,0.089,0.355,0.012,0.0,0.089,0.0
Peru,PER,2022-10-04,2587.0,0.0,66.0,0.0,23.43,0.0,1.958,76.73,0.695,0.0,0.0,0.0
Uruguay,URY,2022-10-05,9.0,0.0,1.0,0.0,0.14,0.0,0.292,2.627,0.041,0.0,0.0,0.0
Mexico,MEX,2022-10-05,1968.0,0.0,341.0,0.0,48.71,0.0,2.691,15.532,0.384,0.0,0.0,0.0
New Zealand,NZL,2022-10-05,11.0,0.0,2.0,0.0,0.29,0.0,0.39,2.144,0.057,0.0,0.0,0.0
Venezuela,VEN,2022-10-05,8.0,0.0,3.0,0.0,0.43,0.0,0.106,0.284,0.015,0.0,0.0,0.0
Colombia,COL,2022-10-05,2453.0,0.0,411.0,0.0,58.71,0.0,7.978,47.616,1.14,0.0,0.0,0.0
Costa Rica,CRI,2022-10-05,6.0,0.0,1.0,0.0,0.29,0.0,0.194,1.164,0.056,0.0,0.0,0.0
Lebanon,LBN,2022-10-06,14.0,0.0,3.0,0.0,0.43,0.0,0.536,2.503,0.077,0.0,0.0,0.0
Japan,JPN,2022-10-06,7.0,0.0,1.0,0.0,0.14,0.0,0.008,0.056,0.001,0.0,0.0,0.0
Chile,CHL,2022-10-06,977.0,0.0,62.0,0.0,13.86,0.0,3.181,50.12,0.711,0.0,0.0,0.0
Guatemala,GTM,2022-10-07,38.0,0.0,6.0,0.0,2.0,0.0,0.341,2.158,0.114,0.0,0.0,0.0
Dominican Republic,DOM,2022-10-07,52.0,0.0,21.0,0.0,3.0,0.0,1.889,4.677,0.27,0.0,0.0,0.0
Argentina,ARG,2022-10-07,479.0,0.0,83.0,0.0,11.86,0.0,1.833,10.579,0.262,0.0,0.0,0.0
Canada,CAN,2022-10-08,1411.0,0.0,5.0,0.0,2.14,0.0,0.131,36.981,0.056,0.0,0.0,0.0
United States,USA,2022-10-08,26393.0,2.0,0.0,0.0,137.0,0.14,0.0,78.318,0.407,0.0,0.006,0.0
Bolivia,BOL,2022-10-08,215.0,0.0,4.0,0.0,2.86,0.0,0.331,17.799,0.237,0.0,0.0,0.0
Puerto Rico,PRI,2022-10-08,188.0,0.0,1.0,0.0,0.86,0.0,0.307,57.739,0.264,0.0,0.0,0.0
Brazil,BRA,2022-10-08,8270.0,3.0,63.0,0.0,66.57,0.14,0.294,38.586,0.311,0.0,0.014,0.001
Cyprus,CYP,2022-10-10,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58,0.0,0.0,0.0,0.0
Luxembourg,LUX,2022-10-10,55.0,0.0,0.0,0.0,0.0,0.0,0.0,86.029,0.0,0.0,0.0,0.0
Slovakia,SVK,2022-10-10,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.0,0.0
Lithuania,LTU,2022-10-10,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.794,0.0,0.0,0.0,0.0
Czechia,CZE,2022-10-10,72.0,1.0,0.0,0.0,0.71,0.0,0.0,6.85,0.068,0.0,0.095,0.0
Democratic Republic of Congo,COD,2022-10-10,200.0,0.0,10.0,0.0,1.43,0.0,0.104,2.086,0.015,0.0,0.0,0.0
Netherlands,NLD,2022-10-10,1221.0,0.0,0.0,0.0,0.29,0.0,0.0,69.765,0.017,0.0,0.0,0.0
Italy,ITA,2022-10-10,854.0,0.0,0.0,0.0,0.57,0.0,0.0,14.416,0.01,0.0,0.0,0.0
Cameroon,CMR,2022-10-10,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.294,0.0,0.0,0.074,0.0
Switzerland,CHE,2022-10-10,517.0,0.0,0.0,0.0,0.57,0.0,0.0,59.484,0.066,0.0,0.0,0.0
Andorra,AND,2022-10-10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,50.611,0.0,0.0,0.0,0.0
Slovenia,SVN,2022-10-10,47.0,0.0,0.0,0.0,0.0,0.0,0.0,22.176,0.0,0.0,0.0,0.0
Montenegro,MNE,2022-10-10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.185,0.0,0.0,0.0,0.0
South Africa,ZAF,2022-10-10,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.0
Croatia,HRV,2022-10-10,29.0,0.0,0.0,0.0,0.0,0.0,0.0,7.143,0.0,0.0,0.0,0.0
Congo,COG,2022-10-10,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857,0.0,0.0,0.0,0.0
Monaco,MCO,2022-10-10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,81.775,0.0,0.0,0.0,0.0
Spain,ESP,2022-10-10,7219.0,2.0,10.0,0.0,4.43,0.0,0.211,152.021,0.093,0.0,0.042,0.0
Moldova,MDA,2022-10-10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653,0.0,0.0,0.0,0.0
Central African Republic,CAF,2022-10-10,10.0,0.0,0.0,0.0,0.14,0.0,0.0,1.832,0.026,0.0,0.0,0.0
Sweden,SWE,2022-10-10,198.0,0.0,0.0,0.0,0.43,0.0,0.0,18.916,0.041,0.0,0.0,0.0
Israel,ISR,2022-10-10,254.0,0.0,0.0,0.0,0.14,0.0,0.0,27.338,0.015,0.0,0.0,0.0
Denmark,DNK,2022-10-10,187.0,0.0,0.0,0.0,0.29,0.0,0.0,31.943,0.05,0.0,0.0,0.0
Gibraltar,GIB,2022-10-10,6.0,0.0,0.0,0.0,0.0,0.0,0.0,183.655,0.0,0.0,0.0,0.0
Ireland,IRL,2022-10-10,198.0,0.0,3.0,0.0,2.14,0.0,0.602,39.707,0.429,0.0,0.0,0.0
Greece,GRC,2022-10-10,82.0,0.0,0.0,0.0,0.14,0.0,0.0,7.85,0.013,0.0,0.0,0.0
United Kingdom,GBR,2022-10-10,3654.0,0.0,0.0,0.0,2.71,0.0,0.0,54.31,0.04,0.0,0.0,0.0
Belgium,BEL,2022-10-10,775.0,1.0,0.0,0.0,0.71,0.0,0.0,66.745,0.061,0.0,0.086,0.0
Poland,POL,2022-10-10,195.0,0.0,0.0,0.0,1.0,0.0,0.0,5.09,0.026,0.0,0.0,0.0
Ghana,GHA,2022-10-10,103.0,4.0,0.0,0.0,1.71,0.0,0.0,3.137,0.052,0.0,0.122,0.0
Greenland,GRL,2022-10-10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.56,0.0,0.0,0.0,0.0
Malta,MLT,2022-10-10,33.0,0.0,0.0,0.0,0.0,0.0,0.0,62.649,0.0,0.0,0.0,0.0
Benin,BEN,2022-10-10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.0,0.0
Germany,DEU,2022-10-10,3645.0,0.0,0.0,0.0,2.86,0.0,0.0,43.701,0.034,0.0,0.0,0.0
Norway,NOR,2022-10-10,92.0,0.0,0.0,0.0,0.0,0.0,0.0,17.028,0.0,0.0,0.0,0.0
Portugal,PRT,2022-10-10,930.0,0.0,0.0,0.0,0.57,0.0,0.0,90.378,0.055,0.0,0.0,0.0
Georgia,GEO,2022-10-10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.0,0.0,0.0,0.0
France,FRA,2022-10-10,4043.0,0.0,0.0,0.0,6.29,0.0,0.0,59.966,0.093,0.0,0.0,0.0
Serbia,SRB,2022-10-10,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.821,0.0,0.0,0.0,0.0
Latvia,LVA,2022-10-10,6.0,0.0,0.0,0.0,0.14,0.0,0.0,3.202,0.075,0.0,0.0,0.0
Finland,FIN,2022-10-10,41.0,0.0,1.0,0.0,0.14,0.0,0.181,7.406,0.025,0.0,0.0,0.0
Hungary,HUN,2022-10-10,78.0,0.0,0.0,0.0,0.14,0.0,0.0,8.033,0.014,0.0,0.0,0.0
Nigeria,NGA,2022-10-10,400.0,7.0,0.0,0.0,0.0,0.0,0.0,1.874,0.0,0.0,0.033,0.0
Romania,ROU,2022-10-10,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.069,0.0,0.0,0.0,0.0
Estonia,EST,2022-10-10,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.279,0.0,0.0,0.0,0.0
Ukraine,UKR,2022-10-10,5.0,0.0,1.0,0.0,0.14,0.0,0.023,0.115,0.003,0.0,0.0,0.0
Liberia,LBR,2022-10-10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578,0.0,0.0,0.0,0.0
Austria,AUT,2022-10-10,317.0,0.0,0.0,0.0,0.43,0.0,0.0,35.53,0.048,0.0,0.0,0.0
Turkey,TUR,2022-10-10,12.0,0.0,0.0,0.0,1.57,0.0,0.0,0.142,0.019,0.0,0.0,0.0
Russia,RUS,2022-10-10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0
Iceland,ISL,2022-10-10,16.0,0.0,0.0,0.0,0.29,0.0,0.0,43.204,0.783,0.0,0.0,0.0
San Marino,SMR,2022-10-10,1.0,0.0,1.0,0.0,0.14,0.0,29.633,29.633,4.149,0.0,0.0,0.0
Bulgaria,BGR,2022-10-10,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.871,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,BIH,2022-10-10,6.0,0.0,0.0,0.0,0.14,0.0,0.0,1.834,0.043,0.0,0.0,0.0
